[orchestrator] sweep=ir50_constlr5e5_ppos95_pneg01  cells=840  resume=True  dry_run=False  workers=8
[orchestrator] ledger: {'pending': 840}
  [parallel] 840 cells  workers=8
  [completed] bitcoin_alpha_seal_s2  (288/840, 124.7s)
  [completed] bitcoin_alpha_seal_s3  (289/840, 124.2s)
  [completed] bitcoin_alpha_seal_s42  (290/840, 125.3s)
  [completed] advogato_gat_emb_s1  (291/840, 228.9s)
  [completed] advogato_gat_emb_s0  (292/840, 233.3s)
  [completed] advogato_gat_emb_s2  (293/840, 228.6s)
  [completed] advogato_gnn_s1  (294/840, 218.8s)
  [completed] advogato_gnn_s0  (295/840, 221.4s)
  [completed] advogato_gat_emb_s42  (296/840, 230.8s)
  [completed] advogato_gnn_s2  (297/840, 225.8s)
  [completed] advogato_gat_emb_s3  (298/840, 234.1s)
  [completed] advogato_gnn_s3  (299/840, 224.9s)
  [completed] advogato_gnn_s42  (300/840, 230.3s)
  [completed] advogato_gnn_concat_s0  (301/840, 229.0s)
  [completed] advogato_gnn_concat_s1  (302/840, 224.4s)
  [completed] advogato_gnn_concat_s2  (303/840, 234.0s)
  [completed] advogato_gnn_concat_s42  (304/840, 226.3s)
  [completed] advogato_gnn_concat_s3  (305/840, 229.5s)
  [completed] advogato_gnn_concat_h8_s0  (306/840, 229.5s)
  [completed] advogato_gnn_concat_h8_s1  (307/840, 223.9s)
  [completed] advogato_gnn_concat_h8_s2  (308/840, 233.8s)
  [completed] advogato_gnn_concat_h8_s3  (309/840, 225.6s)
  [completed] advogato_gnn_concat_h8_s42  (310/840, 230.8s)
  [completed] advogato_gnn_h32_s3  (311/840, 220.7s)
  [completed] advogato_gnn_h32_s2  (312/840, 224.1s)
  [completed] advogato_gnn_h32_s1  (313/840, 226.4s)
  [completed] advogato_gnn_h32_s0  (314/840, 229.5s)
  [completed] advogato_gnn_h32_s42  (315/840, 218.7s)
  [completed] advogato_gnn_sum_s1  (316/840, 224.7s)
  [completed] advogato_gnn_sum_s0  (317/840, 231.5s)
  [completed] advogato_gnn_sum_s2  (318/840, 230.3s)
  [completed] advogato_gnn_sum_s42  (319/840, 226.5s)
  [completed] advogato_gnn_sum_s3  (320/840, 229.0s)
  [completed] advogato_gnn_sum_h8_s1  (321/840, 227.6s)
  [completed] advogato_gnn_sum_h8_s0  (322/840, 229.7s)
  [completed] advogato_gnn_sum_h8_s2  (323/840, 224.6s)
  [completed] advogato_jaccard_s0  (324/840, 17.8s)
  [completed] advogato_gnn_sum_h8_s3  (325/840, 224.1s)
  [completed] advogato_jaccard_s1  (326/840, 18.0s)
  [completed] advogato_gnn_sum_h8_s42  (327/840, 231.6s)
  [completed] advogato_jaccard_s2  (328/840, 17.7s)
  [completed] advogato_jaccard_s3  (329/840, 17.7s)
  [completed] advogato_jaccard_s42  (330/840, 18.1s)
  [completed] advogato_pa_s0  (331/840, 16.5s)
  [completed] advogato_graphsage_emb_s1  (332/840, 221.7s)
  [completed] advogato_graphsage_emb_s0  (333/840, 227.1s)
  [completed] advogato_pa_s1  (334/840, 17.1s)
  [completed] advogato_graphsage_emb_s2  (335/840, 225.7s)
  [completed] advogato_pa_s2  (336/840, 17.1s)
  [completed] advogato_graphsage_emb_s3  (337/840, 224.0s)
  [completed] advogato_graphsage_emb_s42  (338/840, 225.2s)
  [completed] advogato_pa_s3  (339/840, 17.2s)
  [completed] advogato_random_s0  (340/840, 13.7s)
  [completed] advogato_random_s1  (341/840, 13.8s)
  [completed] advogato_pa_s42  (342/840, 17.2s)
  [completed] advogato_random_s3  (343/840, 13.4s)
  [completed] advogato_random_s2  (344/840, 14.4s)
  [completed] advogato_random_s42  (345/840, 14.2s)
  [completed] bitcoin_otc_aa_s0  (346/840, 23.2s)
  [completed] bitcoin_otc_aa_s1  (347/840, 23.1s)
  [completed] bitcoin_otc_aa_s2  (348/840, 22.9s)
  [completed] bitcoin_otc_cn_s0  (349/840, 18.0s)
  [completed] bitcoin_otc_aa_s42  (350/840, 22.9s)
  [completed] bitcoin_otc_aa_s3  (351/840, 23.4s)
  [completed] bitcoin_otc_cn_s1  (352/840, 17.8s)
  [completed] bitcoin_otc_cn_s2  (353/840, 17.8s)
  [completed] bitcoin_otc_cn_s3  (354/840, 18.1s)
  [completed] bitcoin_otc_cn_s42  (355/840, 17.7s)
  [completed] advogato_seal_s1  (356/840, 221.0s)
  [completed] advogato_seal_s2  (357/840, 221.3s)
  [completed] advogato_seal_s0  (358/840, 229.0s)
  [completed] advogato_seal_s3  (359/840, 223.1s)
  [completed] advogato_seal_s42  (360/840, 227.1s)
  [completed] bitcoin_otc_gat_emb_s0  (361/840, 198.7s)
  [completed] bitcoin_otc_gat_emb_s1  (362/840, 200.0s)
  [completed] bitcoin_otc_gat_emb_s2  (363/840, 195.6s)
