round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@5,mrr@10,mrr@20,hits@5,hit_rate@5,rec_coverage@5,novelty,clustering_diff,degree_kl,replay_size
62,0.102089081592432,0.02364864864864865,42.0,1776.0,189.0,0.0,1.0,1.0,1.0,1.0,0.1164021164021164,0.3185887309110058,2.781725888324873,,,63.0
63,0.10228616476152937,0.019886363636363636,35.0,1760.0,189.0,0.0,1.0,1.0,1.0,1.0,0.08994708994708994,0.330173775671406,2.830769230769231,,,64.0
64,0.10238470634607805,0.020100502512562814,36.0,1791.0,189.0,0.0,1.0,1.0,1.0,1.0,0.10052910052910052,0.3154291732490785,2.81025641025641,,,65.0
65,0.10258178951517541,0.021727019498607242,39.0,1795.0,189.0,0.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.3285939968404423,2.765,,,66.0
66,0.10268033109972409,0.03135498320268757,56.0,1786.0,189.0,0.0,1.0,1.0,1.0,1.0,0.14814814814814814,0.31332280147446023,2.764102564102564,,,67.0
67,0.10287741426882144,0.02037351443123939,36.0,1767.0,189.0,0.0,1.0,1.0,1.0,1.0,0.06878306878306878,0.30858346498156924,2.7435897435897436,,,68.0
68,0.1030744974379188,0.017123287671232876,30.0,1752.0,189.0,0.0,1.0,1.0,1.0,1.0,0.08994708994708994,0.3048973143759874,2.64,,,69.0
69,0.10327158060701616,0.024,42.0,1750.0,189.0,0.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.32174828857293314,2.712820512820513,,,70.0
70,0.10327158060701616,0.019133370849746763,34.0,1777.0,189.0,0.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.31911532385466035,2.5945945945945947,0.00985269328920152,0.7620001848754556,71.0
71,0.10341939298383918,0.019553072625698324,35.0,1790.0,189.0,0.0,1.0,1.0,1.0,1.0,0.06349206349206349,0.325434439178515,2.645,,,72.0
72,0.10346866377611352,0.0259009009009009,46.0,1776.0,189.0,0.0,1.0,1.0,1.0,1.0,0.15343915343915343,0.3233280674038968,2.7333333333333334,,,73.0
73,0.10346866377611352,0.023915461624026697,43.0,1798.0,189.0,0.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.3127962085308057,2.796954314720812,,,74.0
74,0.10366574694521088,0.021971830985915493,39.0,1775.0,189.0,0.0,1.0,1.0,1.0,1.0,0.10052910052910052,0.3138493944181148,2.813131313131313,,,75.0
